PRODLIST-Ind 2022,NCM 2022 (SET/2022),PRODLIST Ind 2019,NCM 2019,PRODLIST Ind 2016,NCM 2016
1032.2060,2004.90.00,,,,
1032.2070,0711.20.10,,,,
1032.2070,0711.20.20,,,,
1032.2070,0711.20.90,,,,
1032.2070,0711.40.00,,,,
1032.2070,0711.51.00,,,,
1032.2070,0711.59.00,,,,
1032.2070,0711.90.00,,,,
1032.2080,0710.10.00,,,,
1032.2080,0710.21.00,,,,
1032.2080,0710.22.00,,,,
1032.2080,0710.29.00,,,,
1032.2080,0710.30.00,,,,
1032.2080,0710.40.00,,,,
1032.2080,0710.80.00,,,,
1032.2080,0710.90.00,,,,
1032.2090,2001.10.00,,,,
1032.2090,2001.90.00,,,,
1032.2100,2005.51.00,,,,
1032.2100,2005.59.00,,,,
1032.2100,2005.60.00,,,,
1032.2100,2005.70.00,,,,
1032.2100,2005.91.00,,,,
1032.2100,2005.99.00,,,,
1032.2110,0712.20.00,,,,
1032.2110,0712.31.00,,,,
1032.2110,0712.32.00,,,,
1032.2110,0712.33.00,,,,
1032.2110,0712.34.00,,,,
1032.2110,0712.39.00,,,,
1032.2110,0712.90.10,,,,
1032.2110,0712.90.90,,,,
1032.2120,2308.00.00,,,,
1033.2010,2009.89.21,,,,
1033.2010,2009.89.22,,,,
1033.2015,2202.99.00,,,,
1033.2016,2202.99.00,,,,
1033.2022,2202.99.00,,,,
1033.2024,2202.99.00,,,,
1033.2026,2202.99.00,,,,
1033.2030,2009.41.00,,,,
1033.2030,2009.49.00,,,,
1033.2040,2009.89.90,,,,
1033.2045,2009.90.00,,,,
1033.2050,2009.11.00,,,,
1033.2050,2009.12.00,,,,
1033.2050,2009.19.00,,,,
1033.2060,2009.31.00,,,,
1033.2060,2009.39.00,,,,
1033.2070,2009.89.13,,,,
1033.2085,2009.21.00,,,,
1033.2085,2009.29.00,,,,
1033.2085,2009.31.00,,,,
1033.2085,2009.39.00,,,,
1033.2085,2009.71.00,,,,
1033.2085,2009.79.00,,,,
1033.2085,2009.81.00,,,,
1033.2085,2009.89.11,,,,
1033.2085,2009.89.12,,,,
1033.2085,2009.89.19,,,,
1033.2085,2009.89.90,,,,
1033.2090,2009.61.00,,,,
1033.2090,2009.69.00,,,,
1033.2128,2202.99.00,,,,
1033.2140,2009.50.00,,,,
1033.2155,2009.89.90,,,,
1033.2155,2009.90.00,,,,
1033.2160,2009.89.90,,,,
1033.2170,2009.89.13,,,,
1033.2180,2009.81.00,,,,
1033.2180,2009.89.90,,,,
1033.2190,2009.61.00,,,,
1033.2190,2009.69.00,,,,
1041.2010,1208.10.00,,,,
1041.2010,1208.90.00,,,,
1041.2020,2304.00.10,,,,
1041.2030,1404.20.10,,,,
1041.2030,1404.20.90,,,,
1041.2040,1512.21.00,,,,
1041.2045,1514.11.00,,,,
1041.2055,1513.11.00,,,,
1041.2060,1511.10.00,,,,
1041.2070,1512.11.10,,,,
